Assembly	SRR11597206_scaffolds
# contigs (>= 0 bp)	29820
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2832212
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	510
Total length	510
Reference length	29903
GC (%)	49.61
Reference GC (%)	37.97
N50	510
N75	510
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	510
# N's per 100 kbp	0.00
NGA50	-
