Assembly	contigs
# contigs (>= 0 bp)	803
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	138521
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	690
Total length	3827
Reference length	29903
GC (%)	52.36
Reference GC (%)	37.97
N50	516
N75	512
L50	4
L75	6
# unaligned contigs	7 + 0 part
Unaligned length	3827
# N's per 100 kbp	0.00
NGA50	-
